Date,Year,Quarter,Month_Num,Month_Name,Month_Year,Year_Month,Week,Day_of_Week,Is_Weekend
2024-01-01,2024,Q1,1,Jan,Jan 2024,2024-01,1,Monday,False
2024-01-02,2024,Q1,1,Jan,Jan 2024,2024-01,1,Tuesday,False
2024-01-03,2024,Q1,1,Jan,Jan 2024,2024-01,1,Wednesday,False
2024-01-04,2024,Q1,1,Jan,Jan 2024,2024-01,1,Thursday,False
2024-01-05,2024,Q1,1,Jan,Jan 2024,2024-01,1,Friday,False
2024-01-06,2024,Q1,1,Jan,Jan 2024,2024-01,1,Saturday,True
2024-01-07,2024,Q1,1,Jan,Jan 2024,2024-01,1,Sunday,True
2024-01-08,2024,Q1,1,Jan,Jan 2024,2024-01,2,Monday,False
2024-01-09,2024,Q1,1,Jan,Jan 2024,2024-01,2,Tuesday,False
2024-01-10,2024,Q1,1,Jan,Jan 2024,2024-01,2,Wednesday,False
2024-01-11,2024,Q1,1,Jan,Jan 2024,2024-01,2,Thursday,False
2024-01-12,2024,Q1,1,Jan,Jan 2024,2024-01,2,Friday,False
2024-01-13,2024,Q1,1,Jan,Jan 2024,2024-01,2,Saturday,True
2024-01-14,2024,Q1,1,Jan,Jan 2024,2024-01,2,Sunday,True
2024-01-15,2024,Q1,1,Jan,Jan 2024,2024-01,3,Monday,False
2024-01-16,2024,Q1,1,Jan,Jan 2024,2024-01,3,Tuesday,False
2024-01-17,2024,Q1,1,Jan,Jan 2024,2024-01,3,Wednesday,False
2024-01-18,2024,Q1,1,Jan,Jan 2024,2024-01,3,Thursday,False
2024-01-19,2024,Q1,1,Jan,Jan 2024,2024-01,3,Friday,False
2024-01-20,2024,Q1,1,Jan,Jan 2024,2024-01,3,Saturday,True
2024-01-21,2024,Q1,1,Jan,Jan 2024,2024-01,3,Sunday,True
2024-01-22,2024,Q1,1,Jan,Jan 2024,2024-01,4,Monday,False
2024-01-23,2024,Q1,1,Jan,Jan 2024,2024-01,4,Tuesday,False
2024-01-24,2024,Q1,1,Jan,Jan 2024,2024-01,4,Wednesday,False
2024-01-25,2024,Q1,1,Jan,Jan 2024,2024-01,4,Thursday,False
2024-01-26,2024,Q1,1,Jan,Jan 2024,2024-01,4,Friday,False
2024-01-27,2024,Q1,1,Jan,Jan 2024,2024-01,4,Saturday,True
